2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	e	1			e	1		1	e			e	1	b	1	1	b								2
2				1				1	b		b	1	1			1	e	1		1		1	e		2
2		1		1				1	1		1					e								1	2
2		1		1		1	e	h	1	e	e				1	1		1	e	1		1			2
2		1				1		e	1		1		1		b	1								1	2
2		1	e	1		1	e		1		1		1			1		1		1		1	e		2
2		e		1		1					1	e	1	1	e	1								1	2
2		1		1						1	1		1	1		1		1		1		1			2
2		1											1	1		1								1	2
2	b	1		1		1	1		1				1	1		1		1	e	1		1	e		2
2	a		e	1		1	1		1	e			1	1	e	1								1	2
2	1	1		1		1	1		1	1	1	h	1	1		1		1		1		1			2
2	b			1					1	e	1		1		b	1	e							1	2
2	p			1	b				1						1	1	1			1		1	e		2
2	b			1	e	e		e								e								1	2
2	1	1		1	1	1				1	1		e			e				1		1			2
2	b	1									1				1	1	1							1	2
2		1	e	1	1	1		1							e	1	e			1		1	e		2
2		1		1	e						e		1			1								1	2
2		1		1			e	1			e		1			1		1		1		1			2
2	e	e		1				1					1			1								1	2
2		1				1		1	e	1	1		1			1		1	e	1		1	e		2
2		1	e			1							1		e	1								1	2
2		1			1	1			1	e		e	1	a	h	1		1		1		1			2
2					e	1		1					1			1	e							1	2
2	e		e	1		1		1			e		1			1		1		1		1	e		2
2		1		1	b	1		1		1	1		1	b	b	1								1	2
2		1		1				a			1		1	e	e	1		1	e	1		1			2
2	h		e					b	1			h	1	b	b	1	b								2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
