1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	p	2	b										2	h	2	e			e		e	1
1		2			2		2		2		2	b	2	b	2				2			1
1		2	e		2	e	2		2		2		2		2				2	2	e	1
1							2	e	2		2	a	2		2			2	2	2		1
1							2		2		2	2	2		2		2	2	2	2		1
1		2	2	2			2		2								e	2	2	2		1
1												b						a	2	2		1
1		2	h			2		2		2							e	b	2			1
1		2	2	2		2		2		2		2	2	2	2		2	2	2		2	1
1			a	2		2	e	2	e	2		2	b						2		2	1
1						2		2		2		2							e		2	1
1		2				2		2		2				e	2		2	2	e		2	1
1		2												e	2		e	2	2		2	1
1		2		2	2	2	2	2	2										2			1
1		2		2	2	2	2	2	2	2	b	2	b	2					2	2		1
1		2	e	2	2	2	2	2	2	2		2	2	2	2		2		2	2	e	1
1		2		2	2	2	2	2	2	2		2	2	e			2		2	2		1
1		2		2	2	2	2	2				2					2		2	2		1
1												2					2		2			1
1					e		e			e		2		2	2		2		2		2	1
1		2								e				e					e		2	1
1		2		2	2	2	2		2										e		2	1
1		2		2	e		e		2		b	2	2		2	2			e		2	1
1	e	2		2					2			2	2		2	2			2		2	1
1				2					2			2	h		2				2		2	1
1		2								e		2	b		2		2		2	e		1
1		2		2	2	2		2		2		2	2				2		2		2	1
1		2	e	2	e			2		2		2					2		2		2	1
1		2		2		2	2	2		2		2					2		2		2	1
1				2		2			e						e				2		2	1
1	b	2	2	2		2							2		2		2		2			1
1		2	e		e	2		2		2		e	2		2		2		2	2		1
1	2	2		2	2			2		2		e	2		2		2		2	2		1
1	h				2			2		2	2	2	2		2		2		2	2		1
1		b			2	b	b	2		e			e		2	e			e		e	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
